Registered Date,Property Type,Lender
3/18/2014,Single Family,CALIFORNIA CREDIT UNION
10/1/2014,Single Family,JP Morgan Chase NA
2/12/2014,Single Family,Ocwen Loan Servicing  LLC
12/16/2014,Single Family,Ocwen Loan Servicing  LLC
9/30/2014,Single Family,JP Morgan Chase NA
6/16/2014,Multi-Family,GREEN TREE SERVICING LLC
6/17/2014,Single Family,Wells Fargo Bank N.A.
12/1/2014,Single Family,Wells Fargo Bank N.A.
7/15/2014,Single Family,Wells Fargo Bank N.A.
11/11/2014,Single Family,Nationstar Mortgage LLC
7/29/2014,Single Family,Sun West Mortgage Company
11/26/2014,Single Family,JPMorgan Chase Bank c/o Select Portfolio Servicing
11/5/2014,Single Family,Shellpoint Mortgage Services
6/17/2014,Single Family,Wells Fargo Bank N.A.
1/30/2014,Single Family,Wells Fargo Bank N.A.
1/24/2014,Single Family,Specialized Loan Servicing as Servicing Agent for Beneficiary
1/30/2014,Single Family,Wells Fargo Bank N.A.
7/23/2014,Single Family,Wells Fargo Bank N.A.
4/11/2014,Single Family,Wells Fargo Bank N.A.
1/24/2014,Single Family,City National Bank
2/26/2014,Single Family,Ocwen Loan Servicing  LLC
8/22/2014,Single Family,Green Tree
9/24/2014,Single Family,SolutionStar
7/17/2014,Single Family,Freddie Mac
7/29/2014,Single Family,Ocwen Loan Servicing  LLC
6/5/2014,Single Family,Champion Mortgage Company
3/12/2014,Multi-Family,Ocwen Loan Servicing  LLC
1/16/2014,Multi-Family,JP Morgan Chase NA
8/14/2014,Single Family,Nationstar Mortgage
1/31/2014,Single Family,Deutsche Bank  as Trustee  c/o Select Portfolio Servicing
9/24/2014,Multi-Family,Nationstar Mortgage LLC
5/15/2014,Multi-Family,JP Morgan Chase NA
5/12/2014,Single Family,Deutsche Bank  as Trustee  c/o Select Portfolio Servicing
12/23/2014,Single Family,Living Trust of Benjamin K Bustillo
11/6/2014,Single Family,Resurgent Capital
12/20/2014,Single Family,Ocwen Loan Servicing  LLC
5/15/2014,Single Family,JP Morgan Chase NA
